Category,Dept,Number,Title
Computer graphics and animation,COMPSCI,194,Advanced Digital Animation
Computer graphics and animation,COMPSCI,98 /198,UCBUGG: 3D Modeling & Animation
Computer graphics and animation,NWMEDIA,190,Advanced Digital Animation
Digital product design,COMPSCI,160,User Interface Design and Development
Digital product design,COMPSCI,294,Interactive Device Design
Digital product design,COMPSCI,98 / 198,Web Design Decal
Digital product design,INFO,C262,Theory and Practice of Tangible User Interfaces
Digital product design,NWMEDIA,203,"Critical Making: Materials, Protocols, and Culture (crosslisted CS 294)"
Engineering design,BIO ENG,192,Capstone Senior Design
Engineering design,CIV ENG,105,Environmental Fluid Mechanics Design
Engineering design,CIV ENG,112,Environmental Engineering design
Engineering design,CIV ENG,124,Structural Design in Timber
Engineering design,CIV ENG,153,Transportation Facility Design
Engineering design,CIV ENG,155,Transportation Systens Engineering Operation
Engineering design,CIV ENG,177,Foundation Engineering design
Engineering design,CIV ENG,180,Life-Cycle Design and Construction
Engineering design,CIV ENG,186,Design of Cyber-Physical Systems
Engineering design,CIV ENG,122L,Structural Steel Design Project
Engineering design,CIV ENG,122N,Design of Steel Structures
Engineering design,CIV ENG,123L,Structural Concrete Design Project
Engineering design,CIV ENG,123N,Design of Reinforced Concrete Structures
Engineering design,COMPSCI,150,Components and Design Techniques for Digital Systems
Engineering design,EL ENG,192,Mechatronic Design Laboratory
Engineering design,ENGIN,25,Visualization for Design
Engineering design,ENGIN,26,Three-Dimensional Modeling for Design
Engineering design,ENGIN,128,Advanced Engineering design Graphics
Engineering design,MAT SCI,130,Experimental Materials Science & Design
Engineering design,MEC ENG,128,Computer Aided Mechanical Design
Engineering design,MEC ENG,102B,Mechatronic Design Laboratory
Engineering design,NUC ENG,170A,Design in Nuclear Power Technology and Instrumentation
Engineering design,NUC ENG,170B,"Design in Bionuclear, Nuclear Medicine, and Radiation Therapy"
Enterprise design,ECON,C110,Game Theory in the Social Sciences
Enterprise design,IND ENG,151,Service Operations Design & Analysis
Enterprise design,IND ENG,153,Supply Chain Management and Logistics Network Design
Enterprise design,IND ENG,171,Introduction to Design of Human Work Systems and Organizations
Enterprise design,IND ENG,186,Project Management
Enterprise design,SOCIOL,121,Innovation and Entrepreneurship: Social and Cultural Context
Enterprise design,UGBA,196.4,Leadership and Personal Development
Enterprise design,UGBA,198,Open Innovation Leveraging IBM Watson
Enterprise design,UGBA,190T,Innovation and Design Thinking in Business
Enterprise design,UGBA,190T,Business Innovation & Design Thinking
Enterprise design,UGBA,190T,Innovation and Business Models and Entrepreneurship
Enterprise design,UGBA,193I,Building Smart Cities Leveraging Open Innovation
Environmental design,AMERSTD,C171,The American Designed Landscape Since 1850
Environmental design,ARCH,24,Design Thinking and the Design Professions
Environmental design,ARCH,105,Deep Green Design
Environmental design,ARCH,130,Introduction to Architectural Design Theory and Criticism
Environmental design,ARCH,160,Introduction to Construction
Environmental design,ARCH,212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond"
Environmental design,ARCH,110AC,The Social and Cultural Basis of Design
Environmental design,ARCH,170A,An Historical Survey of Architecture and Urbanism: Antiquity to the Middle Ages
Environmental design,ARCH,170B,An Historical Survey of Architecture and Urbanism: 1400 to Present
Environmental design,CIV ENG,209,Design for Sustainable Communities
Environmental design,CY PLAN,140,Urban Design: City-Building and Place-Making
Environmental design,CY PLAN,C240,Theories of Urban Form and Design
Environmental design,ENV DES,1,People and Environmental design
Environmental design,ENV DES,106,Sustainable Environmental design Workshop
Environmental design,ENV DES,170,The Social Art of Architecture
Environmental design,ENV DES,11A,Introduction to Visual Representation and Drawing
Environmental design,ENV DES,11B,Introduction to Design
Environmental design,HISTART,185A,"Art, Architecture, and Design in the U.S."
Environmental design,HISTART,185A,American Architecture: Domestic Forms
Environmental design,LD ARCH,1,Drawing a Green Future: Fundamentals of Visual Representation and Creativity
Environmental design,LD ARCH,101,Fundamentals of Landscape Design
Environmental design,LD ARCH,103,"Energy, Fantasy, and Form"
Environmental design,LD ARCH,130,Sustainable Landscapes & Cities
Environmental design,LD ARCH,140,Social and Psychological Factors in Open Space Design
Environmental design,LD ARCH,C250,Theories of Urban Form and Design
Game design,ART,178,Game design Methods
Game design,ART,98 / 198,Video Games and You: The Player's Perspective
Game design,COMPSCI,198,iOS Game Development
Game design,FILM,178,Game design Methods
Human-centered design,ARCH,212,"Body-Conscious Design: Shoes, Chairs, Rooms, and Beyond"
Human-centered design,COMPSCI,160,User Interface Design and Development
Human-centered design,COMPSCI,294,Interactive Device Design
Human-centered design,COMPSCI,298-48,HCI Design Clinic
Human-centered design,DES INV,190 P,Design Competition: Interactive Seating
Human-centered design,DES INV,90-1,Design Methodology
Human-centered design,IND ENG,170,Industrial Design and Human Factors
Human-centered design,IND ENG,185,Challenge Lab
Human-centered design,INFO,214,Needs and Usability Assessment
Human-centered design,INFO,290,Alternative Visions of Technology
Human-centered design,INFO,C263,Technologies for Creativity and Learning
Human-centered design,LD ARCH,140,Social and Psychological Factors in Open Space Design
Human-centered design,MEC ENG,290KA,Design Thinking
Human-centered design,MEC ENG,98 / 198,{Design.} Decal
Human-centered design,NWMEDIA,190,"Critical Practices: People, Places, Participation"
Human-centered design,NWMEDIA,203,"Critical Making: Materials, Protocols, and Culture (crosslisted CS 294)"
Human-centered design,NWMEDIA,C262,Theory and Practice of Tangible User Interfaces
Human-centered design,NWMEDIA,C263,Technologies for Creativity and Learning
Human-centered design,UGBA,190T,Introduction to New Product Development
Human-centered design,UGBA,190T-2A,Understanding Customers: Conducting Customer Interviews
Human-centered design,UGBA,190T-2B,Understanding Customers: Extracting Values from Behavioral Data
Human-centered design,UGBA,190T-2C,Understanding Customers: Creating Customer Experiences
Human-centered design,UGBA,190T-2D,Understanding Customers: Integrated Customer Understanding Project
Interdisciplinary,AFRICAM,C134,Information Technology and Society
Interdisciplinary,ANTHRO,150,Utopia: Art and Power in Modern Times
Interdisciplinary,COG SCI,165,Psychology of Creativity
Interdisciplinary,HISTORY,C182C,"Science, Technology, and Society (crosslisted STS C100 / ISF C100G)"
Interdisciplinary,INFO,290,"Re-imagining the Body: Design, Data, Values and Intersectionality"
Interdisciplinary,ISF,100D,"Introduction to Technology, Society, and Culture"
Interdisciplinary,PSYCH,C103,Psychology of Creativity
Interdisciplinary,SOCIOL,166,Society and Technology
Interdisciplinary,SOCIOL,167,Virtual Communities / Social Media
Interdisciplinary,THEATER,60,Stagecraft
Interdisciplinary,THEATER,177,Sound Design & Media Theater
Interdisciplinary,THEATER,174B,Scenography: Costume Design for the Theater
Physical product design,COMPSCI,294,Interactive Device Design
Physical product design,DES INV,190 P,Design Competition: Interactive Seating
Physical product design,DES INV,90-2,Intro to Prototyping & Fabrication
Physical product design,INFO,C262,Theory and Practice of Tangible User Interfaces
Physical product design,MEC ENG,110,Introduction to New Product Development
Physical product design,NWMEDIA,203,"Critical Making: Materials, Protocols, and Culture (crosslisted CS 294)"
Visual design,ARCH,98 / 198,Intro to Digital Photography
Visual design,ART,8,Introduction to Visual Thinking
Visual design,ART,12,The Language of Drawing
Visual design,ART,14,The Language of Sculpture
Visual design,ART,21,Digital Photography
Visual design,ART,26,The Moving Image
Visual design,ART,171,Digital Video: The Architecture of Time
Visual design,ART,173,Sound Art
Visual design,ART,174,Advanced Digital Video
Visual design,ART,180,Advanced Digital Photography
Visual design,ART,98 / 198,UCBUGG: Art and Story
Visual design,COMPSCI,294,Visualization
Visual design,COMPSCI,98 / 198,Web Design Decal
Visual design,COMPSCI,98 / 198,Typography Decal
Visual design,COMPSCI,98 / 198,Innovative Design Photoshop + Illustrator Decal
Visual design,COMPSCI,98 / 198,Principles of Graphic Design Decal
Visual design,DES INV,90-3,Sketching & Visual Communication
Visual design,HISTART,185A,American Art (1800-Present)